,precision,recall,f1-score,support
N,0.9878751473892634,0.9971928406207191,0.9925121258856926,44529.0
L,0.9955284552845528,0.9985728848114169,0.9970483460559797,4905.0
R,0.9929178470254958,0.9945277665180381,0.9937221547185096,4934.0
V,0.9569694740713498,0.9626341102478727,0.9597934341571376,2703.0
A,0.9281537176274018,0.9552880481513327,0.9415254237288135,1163.0
other,0.984039980654522,0.9115890083632019,0.9464299558105279,6696.0
accuracy,0.9860773140304944,0.9860773140304944,0.9860773140304944,0.9860773140304944
macro avg,0.9742474370087643,0.9699674431187636,0.9718385733927768,64930.0
weighted avg,0.9860846933770098,0.9860773140304944,0.9859191499581141,64930.0
